epoch,lr,train_loss,valid_loss,Dice,Dice_Myo,Dice_LV,Dice_RV,Jaccard,Jaccard_Myo,Jaccard_LV,Jaccard_RV
1,0.0003,0.8183068204671144,0.8402609629631043,6.564832977519387e-05,0.0,0.0,0.00019694498932558158,3.315720227484934e-05,0.0,0.0,9.9471606824548e-05
2,0.0003,0.768087999895215,0.8324548063278199,0.13600416169761587,0.0052432900850122865,0.1920432718135018,0.2107259231943335,0.09829794838104362,0.0027576246667738095,0.1502425653656161,0.141893655110741
3,0.0003,0.7109371516853571,0.7163856749534607,0.282648614528446,0.28041607717887435,0.4387742068543993,0.12875555955206444,0.19197391712175618,0.17823388001663454,0.3221936934943485,0.07549417785428542
4,0.0003,0.6544457208365202,0.6312169189453125,0.3762129327050289,0.3865109007731486,0.5418024932092239,0.2003254041327143,0.28123899349029813,0.27230682609064594,0.4451414544481574,0.12626869993209094
5,0.0003,0.5962349269539118,0.5300447778701782,0.5502057356850898,0.5341442787415076,0.7365532168888281,0.3799197114249337,0.44656053175749694,0.40436577174433463,0.6446819184236939,0.29063390510446213
6,0.0003,0.5404037274420261,0.5135923577547074,0.4577461361059005,0.47304559449935807,0.6435849897479891,0.25660782407035426,0.3460715639565872,0.33815941514698095,0.5206040318588553,0.1794512448639253
7,0.0003,0.4889872884377837,0.5475426650047303,0.3776678760411529,0.40839566206278366,0.45335096576247347,0.27125700029820154,0.2964319965528121,0.3070924693380216,0.36930055495932124,0.2129029653610935
8,0.0003,0.44566295202821493,0.4384896943569183,0.5269613227050651,0.5387775078240911,0.7023637146588392,0.3397427456322653,0.41671702698427177,0.40630627263881014,0.599639494874704,0.24420531343930127
9,0.0003,0.41017073718830943,0.397500470995903,0.5531969739676315,0.5507491645592382,0.6495361607503123,0.45930559659334386,0.4550367595930594,0.43037775132714473,0.5745881031742875,0.3601444242777461
10,0.0003,0.3788409670814872,0.3425994942188263,0.6119885257414716,0.6277189569192526,0.7869921964398031,0.4212544238653588,0.5089113466444204,0.5071770100468687,0.7023079363161929,0.31724909357019965
11,0.0003,0.36012815590947866,0.352365785241127,0.5882587431319748,0.5726697676140601,0.695571324443277,0.4965351373385874,0.4759401992219952,0.44063053375874195,0.5802696758957607,0.406920388011483
12,0.0003,0.3737558890134096,0.5268747280836106,0.3534980730948449,0.33885889469619795,0.3791881338148578,0.3424471907734788,0.2867281435118809,0.26475194285196163,0.3246782030543842,0.2707542846292969
13,0.0003,0.3443669709376991,0.2886517462730408,0.6638163023754632,0.6697955711001184,0.8260955708507561,0.4955577651755151,0.5653213193690664,0.5500601477675903,0.7481390985175884,0.39776471182202033
14,0.0003,0.32867271546274424,0.43101523447036744,0.4633979421171552,0.4476857303922403,0.5496594271028127,0.3928486688564127,0.37528680573370554,0.3470063184283058,0.48193350685283776,0.2969205919199731
15,0.0003,0.3519822251982987,0.3511082557439804,0.5585217738072217,0.5434786439307794,0.6960443506510403,0.4360423268398455,0.45554915516799155,0.4179668365584169,0.5941807398530209,0.35449988909253677
16,0.0003,0.32652492448687553,0.3457863327264786,0.5853130373687063,0.5790264018214176,0.7360194727963949,0.4408932374883065,0.4790404814662837,0.4528970377894236,0.6288285634892946,0.3553958431201329
17,0.0003,0.3786469385959208,0.3196908849477768,0.5949015319413679,0.5796807012911008,0.7204452237617355,0.4845786707712674,0.4884880027214435,0.44786745635575853,0.6194629681868621,0.3981335836217098
18,0.0003,0.33591673197224736,0.3037032982110977,0.6270512215314401,0.6042906385252738,0.7468821816882147,0.5299808443808319,0.5294097540652596,0.48488897618308674,0.6679458734812717,0.4353944125314204
19,0.0003,0.3258327399380505,0.26535021328926084,0.6710586896771967,0.6700704276382884,0.8032123157783134,0.5398933256149884,0.5746392807823353,0.5549881802429824,0.7253140809812204,0.4436155811228031
20,0.0003,0.2924941726960242,0.25524287223815917,0.6916167617265604,0.6743448536366297,0.815685516904039,0.5848199146390125,0.5934121899120336,0.5541144176159012,0.7324350449480282,0.4936871071721713
21,0.0003,0.2802697466686368,0.2414341844320297,0.7133872143472447,0.7049909181630688,0.8333077563024563,0.6018629685762088,0.6233124484809399,0.5920951539420408,0.7615643929223395,0.5162777985784396
22,0.0003,0.2761705666780472,0.26159196424484255,0.6720812895705,0.6806263812977764,0.8059570609670548,0.5296604264466688,0.5845694160273126,0.565843660827918,0.7328320727543486,0.45503251449967125
23,0.0003,0.27945107920095325,0.28866823494434357,0.6416499346557316,0.6254309218446384,0.7544205576790117,0.5450983244435448,0.5528035055692693,0.5155662451055366,0.6762864267605936,0.46655784484167767
24,0.0003,0.2822681041434407,0.24505455100536347,0.7001761280731084,0.6920859655343473,0.8422356980838875,0.56620672060109,0.6077389293702792,0.5776844019751028,0.7694733177017762,0.4760590684339584
25,0.0003,0.27219898253679276,0.255568598985672,0.6860990197695965,0.685781030203031,0.806535882929413,0.5659801461763453,0.5940194421801919,0.5697495377412592,0.7296891148520959,0.48261967394722033
26,0.0003,0.27231345092877746,0.24181019413471222,0.718251424814026,0.7109947991198716,0.8546743948588358,0.5890850804633704,0.6289111821093311,0.5982859968274902,0.7818206570863198,0.5066268924141833
27,0.0003,0.2663469286635518,0.28475621819496155,0.6438660762065709,0.6604453459613046,0.7684580606428956,0.5026948220155126,0.545977631933245,0.5419980817160502,0.6794073742397608,0.41652743984392393
28,0.0003,0.2741657327860594,0.25592115807533267,0.6882906231409412,0.6909093688013915,0.8079460891140214,0.5660164115074104,0.5914838779552988,0.5702174156004428,0.7231249186684005,0.48110929959705295
29,0.0003,0.2633975902572274,0.25003610861301423,0.6851744036385431,0.6905097374774635,0.8092644955441469,0.5557489778940189,0.5923525345982742,0.5771209476068365,0.7308194718221563,0.46911718436583005
30,0.0003,0.273430535569787,0.2428520871400833,0.6998580073569549,0.6933810177631554,0.8056905001305414,0.6005025041771679,0.6078733278797499,0.577963944940345,0.7316218466787955,0.5140341920201092
31,0.0003,0.2734298864379525,0.2508878915309906,0.6947456483314757,0.7029643667225316,0.8176029715639018,0.5636696067079936,0.6025579753202402,0.5866745633474361,0.7395940414784304,0.4814053211348541
32,0.0003,0.2678080019541085,0.3014385106563568,0.6347607181753409,0.6457341899639559,0.7436855974969924,0.5148623670650745,0.5533642533676046,0.5369280001015188,0.6784025893048863,0.4447621706964089
33,0.0003,0.26148703834041953,0.2561398766040802,0.6896159923837074,0.6794239400943546,0.8017267488401175,0.5876972882166499,0.5900214399408745,0.5551357419111569,0.7222971694969121,0.4926314084145544
