epoch,lr,train_loss,valid_loss,Dice,Dice_Myo,Dice_LV,Dice_RV,Jaccard,Jaccard_Myo,Jaccard_LV,Jaccard_RV
1,0.0001,0.8333171103149652,0.8639117274284362,0.03232752525403263,0.07311473076756703,0.0,0.023867844994530867,0.017284949098924966,0.03858168523294895,0.0,0.013273162063825948
2,0.0001,0.7941702157258987,0.8336987991333008,0.017506653126549827,0.010561668977365282,0.024549167107378107,0.017409123294906095,0.010496739621191705,0.005695622668476303,0.015785157067545266,0.010009439127553543
3,0.0001,0.7639769725501537,0.7875206594467163,0.34746055014539495,0.30596764409730054,0.4936453467024567,0.24276865963642777,0.26806514036105006,0.20257645421721554,0.4144833215552808,0.18713564531065388
4,0.0001,0.7384331505745649,0.7765850157737731,0.3852132135686521,0.3980720516229547,0.4799378199116045,0.2776297691713972,0.2977899116374633,0.2932823356406228,0.4048855614674616,0.19520183780430567
5,0.0001,0.7159005478024483,0.7330129730701447,0.46138541229876706,0.45255688345960865,0.6348267253927292,0.29677262804396326,0.3773431583225433,0.34066387736181764,0.5550897427246901,0.23627585488112218
6,0.0001,0.6881428509950638,0.7464152693748474,0.4458013323434799,0.4775852241890256,0.6192039318849663,0.24061484095644795,0.35818604491906925,0.36281528450716305,0.5466002515504607,0.16514259869958414
7,0.0001,0.6639460381120443,0.7035445621013642,0.4502233347571724,0.43236165651416125,0.5946611813619356,0.3236471663954203,0.3549064201496949,0.3168638514181572,0.5064508574921085,0.2414045515388189
8,0.0001,0.6435253918170929,0.6588528761863709,0.4637562351992508,0.44722922062495396,0.6140691104019269,0.32997037457087147,0.3723604638554266,0.3350810155952468,0.5321146925919875,0.2498856833790454
9,0.0001,0.6224900186061859,0.6557603361606598,0.5244639578178626,0.5148760734771872,0.6165069369029724,0.4420088630734279,0.43253646975047433,0.4035176067900693,0.5467767031275786,0.347315099333775
10,0.0001,0.596035378985107,0.6464330866336823,0.5378195692176586,0.5118312330491829,0.6684420162218372,0.433185458381956,0.4484406531121768,0.4007676755308651,0.6023939043346386,0.3421603794710269
11,0.0001,0.5788654945790768,0.6567433078289032,0.5139319673280497,0.5221192038175546,0.6378476311257956,0.38182906704079894,0.4289782120041085,0.41661029399643357,0.5640086841427764,0.3063156578731156
12,0.0001,0.5636151088401675,0.6230167672634125,0.5101629069805375,0.47986704692527565,0.6165785103441458,0.43404316367219076,0.43761403971188373,0.3887192535290551,0.5618012907557445,0.36232157485085154
13,0.0001,0.5481283916160464,0.6645884056091309,0.447792044050025,0.422616453529072,0.6107478871388595,0.3100117914821435,0.3508965379054055,0.3054614471077139,0.5272368993834821,0.21999126722502055
14,0.0001,0.5309240110218525,0.5765321156978607,0.4913663530459891,0.45901764705000736,0.6008919841474233,0.41418942794053676,0.4003174491915417,0.34919544117163726,0.513968886551393,0.33778801985159485
15,0.0001,0.5262023061513901,0.6529025880098343,0.45949529037208503,0.41924449843676526,0.595839070396095,0.3634023022833949,0.377196661768507,0.3218083273549255,0.517255877662062,0.2925257802885337
16,0.0001,0.5064761880785227,0.5108921966552734,0.5851965001412522,0.5765295534055002,0.7038138998744035,0.475246047143853,0.4993989067962856,0.4697434570101553,0.6327057278149392,0.3957475355637625
17,0.0001,0.4802364706993103,0.5265041049718857,0.5679965707171556,0.5641109382954391,0.6988833256923623,0.44099544816366554,0.483004460686524,0.45736997413400765,0.6305265950806731,0.36111681284489106
18,0.0001,0.46035847906023264,0.5028020431995391,0.5533256991095944,0.5577159914711286,0.6528796406045003,0.4493814652531544,0.46753924152950566,0.45101563456847243,0.5816344980768076,0.3699675919432369
19,0.0001,0.4476347239688039,0.5515418865680695,0.5623104843089692,0.5619963530969831,0.7034794298545017,0.4214556699754228,0.4790648105584048,0.4541868313706399,0.6354412906292646,0.34756630967530994
20,0.0001,0.4371964642778039,0.48676332783699033,0.593788260621897,0.5833351954935546,0.6984024556211856,0.4996271307509507,0.5147769874740998,0.48470149306723564,0.6397612879688206,0.41986818138624354
21,0.0001,0.4156093280762434,0.4833621889352798,0.551731127559404,0.5477637584023818,0.6712480474128937,0.43618157686293646,0.46540644611574183,0.4434115996580788,0.6052762752533605,0.3475314634357862
22,0.0001,0.4114000266417861,0.4619085906744003,0.5905015018935863,0.6006124854923942,0.7009811314033881,0.4699108887849765,0.5106126846318557,0.5015250576814928,0.6403216815143126,0.3899913146997618
23,0.0001,0.3884939681738615,0.4794360213279724,0.5562924281365993,0.5632433463699553,0.6764420437184885,0.4291918943213539,0.47449425078015167,0.4567312217940122,0.6110108427378549,0.35574068780858786
24,0.0001,0.37958410009741783,0.4853995597362518,0.5683348131180987,0.5769400965887154,0.6993831276343203,0.42868121513126034,0.48663228911103196,0.4728709869813266,0.6350622299665626,0.3519636503852066
25,0.0001,0.37624342180788517,0.43330822050571444,0.5930575028524011,0.5870177862362013,0.7169373886251759,0.4752173336958263,0.5098948548301251,0.4816450151762174,0.6501681389765058,0.3978714103376522
26,0.0001,0.3564967908896506,0.408392476439476,0.5846772867881781,0.6010783182195789,0.7075308684034698,0.44542267374148564,0.5067103921031653,0.5020173418237512,0.6470454069094455,0.37106842757629926
27,0.0001,0.33913333248347044,0.41999436211586,0.5736340750119927,0.5726847413511851,0.6940955479666425,0.45412193571815024,0.494685672631822,0.4757569589937168,0.6316933442343264,0.37660671466742274
28,0.0001,0.32110971910879016,0.3926985682249069,0.5924327701914064,0.5886942812164332,0.6922953895196237,0.49630863983816237,0.5148018538782625,0.49116237661490814,0.6309756760249486,0.4222675089949309
