epoch,lr,train_loss,valid_loss,Dice,Dice_Myo,Dice_LV,Dice_RV,Jaccard,Jaccard_Myo,Jaccard_LV,Jaccard_RV
1,0.0003,1.017718596117837,0.8126733646392822,0.06755589877940525,0.0001349098471887886,0.202532786491027,0.0,0.052262572723828206,6.754979817459013e-05,0.15672016837331004,0.0
2,0.0003,0.589231609825104,0.46839080476760864,0.18727382327423817,0.1148427624301814,0.44697870739253315,0.0,0.1488335249343069,0.06678279037931553,0.37971778442360515,0.0
3,0.0003,0.3812161291402484,0.3414234127998352,0.2091305605582604,0.22487376290783545,0.40232940960393737,0.00018850916300833438,0.15698674558435521,0.14709615388949637,0.3237694834028834,9.459946068586628e-05
4,0.0003,0.28318563340202213,0.3086809377670288,0.22590336575852923,0.25209045043338635,0.41893151114279825,0.006688135699403219,0.1669653826124693,0.1669232032003418,0.33041133032450604,0.0035616143125601165
5,0.0003,0.23391776567413694,0.3153488645553589,0.22136528281417936,0.23892470114624223,0.40602756799531065,0.019143579300985158,0.15675788397932522,0.15836682091662715,0.30166767284143486,0.010239158179913612
6,0.0003,0.2028710754617812,0.22897905892133713,0.3734631965275941,0.44743649513465766,0.5427784240559991,0.1301746703921255,0.27897370744822575,0.3257661152205828,0.42425525423380367,0.08689975289029071
7,0.0003,0.18481031781624233,0.2484309353977442,0.2601965631029303,0.26053487988796736,0.4539763433820731,0.06607846603875042,0.19919084048610505,0.18257049619865268,0.37600675716364756,0.03899526809601499
8,0.0003,0.1702468680247428,0.23859709385037423,0.3664781582117289,0.34429334890599533,0.5254505966835362,0.2296905290456552,0.2876691186959759,0.2503583466462542,0.4441360146264972,0.1685129948151762
9,0.0003,0.15919628763009633,0.20951752769947052,0.3596824102531257,0.35934963623035465,0.5129223973240561,0.20677519720496618,0.30018792660777566,0.2833035131150432,0.46439368235044753,0.15286658435783623
10,0.0003,0.1479478319959035,0.22042840477079154,0.4328131465010043,0.4177526723630315,0.5367724268824665,0.3439143402575149,0.338027628462074,0.3105942358802322,0.4418688512769964,0.26161979822899345
11,0.0003,0.14074684797771395,0.17972795119136573,0.4997865124161063,0.5089866907695787,0.6611468200071389,0.3292260264716012,0.4062324714980565,0.3967976443631332,0.5751524205869767,0.24674734954405977
12,0.0003,0.12916709872938337,0.12080194972455502,0.6453623536963536,0.6541723298189868,0.7998026198782059,0.48211211139186855,0.5425265926571337,0.529089722272921,0.7173086061194991,0.3811814495789809
13,0.0003,0.12538608932305897,0.18319076439738274,0.4804601217510939,0.45445363732975497,0.6006409924128847,0.3862857355106419,0.40032289919598457,0.35625501730201914,0.5324795595352178,0.31223412075071666
14,0.0003,0.11756965115902916,0.18976642993092538,0.4349767121807038,0.4556374108448586,0.5567230171180911,0.2925697085791616,0.32731444131723725,0.3249913127571348,0.4566668847985721,0.20028512639600485
15,0.0003,0.11607213389305841,0.11377027368545532,0.6416499082796157,0.6264507351716516,0.7924445091796776,0.5060544804875178,0.5465024223753676,0.504705207300734,0.7102226969819604,0.4245793628434085
16,0.0003,0.10896239666238663,0.23868544502556324,0.3745718775824032,0.2912951999317953,0.47217595374259663,0.3602444790728176,0.30660006099049303,0.21455420727345373,0.41567061113917003,0.2895753645588552
17,0.0003,0.10591590972173781,0.09792560622841119,0.6844780422645739,0.6641330277439105,0.8096304050495594,0.5796706940002516,0.5865003197187276,0.5348331275288167,0.7324560457071395,0.4922117859202267
18,0.0003,0.10061567868032152,0.11704646810144186,0.6471226589577745,0.6342052757273968,0.7752642001151187,0.5318985010308082,0.5572084200685403,0.5220844877541911,0.7000162830712368,0.44952448938019307
19,0.0003,0.09797791953361223,0.10978873939439654,0.6493662681952413,0.6031946111706314,0.7803562905770448,0.564547902838048,0.5464880985637284,0.47595230039625314,0.6933806754992663,0.47013131979566575
20,0.0003,0.08915553969286737,0.11573674697428941,0.6328744135839813,0.6434835321874632,0.745730665594995,0.5094090429694854,0.5239181438096594,0.5095642932969193,0.6330607146082546,0.429129423523804
21,0.0003,0.09228874181234648,0.09239860452711582,0.6977384371064158,0.6821792174850272,0.8369193338863244,0.5741167599478957,0.6067717482242895,0.5592929705569019,0.7717063958024031,0.4893158783135637
22,0.0003,0.08793698381336909,0.1320799818597734,0.6226240100290591,0.639976100091007,0.7521434843184824,0.47575244567768793,0.5296701828951978,0.5240895969718252,0.6710867637920767,0.39383418792169156
23,0.0003,0.08980570727634052,0.12660902763158083,0.6179773348454052,0.6128492006514132,0.73247054821423,0.5086122556705723,0.5310534173825455,0.5070287257875071,0.665881071256437,0.4202504551036923
24,0.0003,0.09221087496668573,0.10625930490344762,0.6580758718236813,0.6532294082998914,0.7590171384861212,0.5619810686850315,0.5478063337763397,0.5256073331933128,0.6479415773859603,0.4698700907497459
25,0.0003,0.09003110951374448,0.10354604566842318,0.6567972312630851,0.6090681881336834,0.7837484990231025,0.5775750066324694,0.5520983751404751,0.47860006687458245,0.687710074030822,0.4899849845160209
26,0.0003,0.0830322913234196,0.11311048521101474,0.6243182758740456,0.640975701193172,0.740747787921385,0.4912313385075802,0.5162794638198526,0.5092860421706161,0.6342601841755492,0.4052921651133924
27,0.0003,0.08384224447229552,0.08896575472503901,0.6874837021831208,0.6701644079504622,0.7838110413675864,0.6084756572313138,0.5966960643677287,0.5515821639182387,0.7132019445396516,0.5253040846452957
28,0.0003,0.07437645023067792,0.07732222940400243,0.7067547174967602,0.7016321369285985,0.820783333745401,0.5978486818162813,0.6110142353871689,0.5756360238016129,0.7454784786651063,0.5119282036947875
29,0.0003,0.07417576074127168,0.08925071415677667,0.6839520129815945,0.6985421301771603,0.7859102319724195,0.5674036767952033,0.5979242101579461,0.5841089060936852,0.7203712749412136,0.48929244943893957
30,0.0003,0.07542153767177037,0.07669628295302391,0.7297259851300195,0.7372350266870888,0.8386816586589267,0.6132612700440432,0.6374935991543763,0.621005603775429,0.7618221831012917,0.5296530105864083
31,0.0003,0.07770084169885469,0.08113695258647204,0.7394568359893313,0.7147848318840951,0.8308336813777716,0.6727519947061272,0.6374132711745872,0.5910969732248867,0.7419799772205757,0.5791628630782991
32,0.0003,0.07531442321718686,0.1374075356721878,0.6015603764225078,0.598300477563,0.7210949035854686,0.48528574811905506,0.5143345448739963,0.49069380596461154,0.6461352148565777,0.4061746138007996
33,0.0003,0.07426007032867461,0.08435889642685651,0.6984072666798985,0.6824128748316481,0.8051361757229306,0.6076727494851167,0.6115400586204666,0.5666789910438482,0.7342987897585602,0.5336423950589911
34,0.0003,0.07962139589445931,0.07767246389575302,0.7422099229595349,0.7601401636276455,0.842671790163075,0.6238178150878843,0.6538055126072077,0.6487370168728722,0.7753608058105965,0.5373187151381543
